,bing,bing_tokens,bing_positivity_score,bing_negativity_score,google,google_tokens,google_positivity_score,google_negativity_score
186,obama should be stopped,"[obama, stop]",0.0,0.0,,[],0.0,0.0
187,obama should the winds shift,"[obama, wind, shift]",0.0,0.0,,[],0.0,0.0
188,obama should go away,"[obama, go, away]",0.0,0.0,,[],0.0,0.0
189,obama should deputize,"[obama, deput]",0.0,0.0,,[],0.0,0.0
190,obama should take a walk,"[obama, take, walk]",0.0,0.0,,[],0.0,0.0
191,obama should nominate himself,"[obama, nomin]",0.0,0.0,,[],0.0,0.0
192,obama should let fossil fuels lie,"[obama, let, fossil, fuel, lie]",0.0,0.0,,[],0.0,0.0
193,obama should be charged with war crimes,"[obama, charg, war, crime]",0.0,0.25,,[],0.0,0.0
194,obama should give back his nobel prize,"[obama, give, back, nobel, prize]",0.2,0.0,,[],0.0,0.0
195,obama should not go to nancy reagan's funeral,"[obama, go, nanci, reagan', funer]",0.0,0.0,,[],0.0,0.0
196,obama should ban guns,"[obama, ban, gun]",0.0,0.0,,[],0.0,0.0
197,obama should go play golf,"[obama, go, play, golf]",0.25,0.0,,[],0.0,0.0
198,obama should be more like putin,"[obama, like, putin]",0.333333333333,0.0,,[],0.0,0.0
199,obama is doing a good job,"[obama, good, job]",0.333333333333,0.0,,[],0.0,0.0
200,obama is doing his job less often,"[obama, job, less, often]",0.0,0.0,,[],0.0,0.0
201,obama is doing great,"[obama, great]",0.5,0.0,,[],0.0,0.0
202,obama is doing a terrible job,"[obama, terribl, job]",0.0,0.333333333333,,[],0.0,0.0
203,obama is doing good,"[obama, good]",0.5,0.0,,[],0.0,0.0
204,obama is doing a good job according to trump.,"[obama, good, job, accord, trump]",0.2,0.0,,[],0.0,0.0
205,obama is doing what he wants,"[obama, want]",0.0,0.0,,[],0.0,0.0
206,obama is doing transom again american,"[obama, transom, american]",0.0,0.0,,[],0.0,0.0
207,obama is doing a gun running operation proof,"[obama, gun, run, oper, proof]",0.0,0.0,,[],0.0,0.0
208,obama should be put in jail,"[obama, put, jail]",0.0,0.0,,[],0.0,0.0
209,obama should be sent to prison,"[obama, sent, prison]",0.0,0.0,,[],0.0,0.0
210,obama should be serving me coffee,"[obama, serv, coffe]",0.0,0.0,,[],0.0,0.0
211,obama should be stopped,"[obama, stop]",0.0,0.0,,[],0.0,0.0
212,obama should be charged with war crimes,"[obama, charg, war, crime]",0.0,0.25,,[],0.0,0.0
213,obama should be more like putin,"[obama, like, putin]",0.333333333333,0.0,,[],0.0,0.0
214,obama should be locked up,"[obama, lock]",0.0,0.0,,[],0.0,0.0
215,obama should be charged,"[obama, charg]",0.0,0.0,,[],0.0,0.0
216,obama should be done away with now 1 8 2015,"[obama, done, away, 1, 8, 2015]",0.0,0.0,,[],0.0,0.0
217,obama is the world's worst president ever,"[obama, world', worst, presid, ever]",0.0,0.2,,[],0.0,0.0
218,obama is the 44th president,"[obama, 44th, presid]",0.0,0.0,,[],0.0,0.0
219,obama is gog,"[obama, gog]",0.0,0.0,,[],0.0,0.0
220,obama is a islamic,"[obama, islam]",0.0,0.0,,[],0.0,0.0
221,obama is a complete fraud,"[obama, complet, fraud]",0.0,0.0,,[],0.0,0.0
222,obama is a disaster,"[obama, disast]",0.0,0.0,,[],0.0,0.0
223,obama is a,[obama],0.0,0.0,,[],0.0,0.0
224,obama is what numbered president,"[obama, number, presid]",0.0,0.0,,[],0.0,0.0
225,obama is an incompetent idiot,"[obama, incompet, idiot]",0.0,0.333333333333,,[],0.0,0.0
226,obama is threatened,"[obama, threaten]",0.0,0.0,,[],0.0,0.0
227,obama is a failed presidency,"[obama, fail, presid]",0.0,0.333333333333,,[],0.0,0.0
228,obama is the what number president,"[obama, number, presid]",0.0,0.0,,[],0.0,0.0
229,obama is what political party,"[obama, polit, parti]",0.0,0.0,,[],0.0,0.0
230,obama is not the antichrist,"[obama, antichrist]",0.0,0.0,,[],0.0,0.0
231,obama is president number,"[obama, presid, number]",0.0,0.0,,[],0.0,0.0
232,obama is a horrible,"[obama, horribl]",0.0,0.0,,[],0.0,0.0
233,obama is a disaster for the country,"[obama, disast, countri]",0.0,0.0,,[],0.0,0.0
234,obama is a member of the muslim brotherhood,"[obama, member, muslim, brotherhood]",0.0,0.0,,[],0.0,0.0
235,obama is a treasonous,"[obama, treason]",0.0,0.0,,[],0.0,0.0
236,obama is the first president to,"[obama, first, presid]",0.0,0.0,,[],0.0,0.0
237,obama is republic,"[obama, republ]",0.0,0.0,,[],0.0,0.0
238,obama is a closet muslim,"[obama, closet, muslim]",0.0,0.0,,[],0.0,0.0
239,obama is the last us president,"[obama, last, us, presid]",0.0,0.0,,[],0.0,0.0
240,obama is a complete failure,"[obama, complet, failur]",0.0,0.0,,[],0.0,0.0
241,obama is a long legged mac daddy,"[obama, long, leg, mac, daddi]",0.0,0.0,,[],0.0,0.0
242,the united states should adopt a carbon tax,"[unit, state, adopt, carbon, tax]",0.0,0.0,,[],0.0,0.0
243,the united states should ban death penalty,"[unit, state, ban, death, penalti]",0.0,0.0,,[],0.0,0.0
